City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.9533,-71.3436,53.33,87,90,3.44,CL,1631971492
Seaford,50.7714,0.1027,75.7,74,100,8.63,GB,1631971493
Kamenka,51.3223,42.7678,56.46,35,100,4.65,RU,1631971494
Shimoda,34.6667,138.95,77.11,92,25,6.91,JP,1631971330
Port-Gentil,-0.7193,8.7815,77.45,83,97,18.16,GA,1631971496
Arrondissement de Reims,49.1667,4.0833,74.95,49,0,9.22,FR,1631971498
Poum,-20.2333,164.0167,71.08,64,4,18.88,NC,1631971500
Aswān,24.0934,32.907,97.68,13,7,6.98,EG,1631971502
Narsaq,60.9167,-46.05,37.62,96,100,9.37,GL,1631970928
Āsosa,10.0667,34.5333,64.72,95,100,5.32,ET,1631971504
Barreirinhas,-2.7469,-42.8264,91.51,38,0,8.57,BR,1631971507
Manzanares,38.9991,-3.3699,78.66,33,0,14.23,ES,1631971510
Minuri,16.535,121.8574,75.76,91,49,3.38,PH,1631971511
Erbil,36.1926,44.0106,94.82,15,20,11.5,IQ,1631971511
Lukovetskiy,64.2956,41.9211,44.58,52,100,6.62,RU,1631971513
Machhlīshahr,25.6833,82.4167,85.95,74,90,3.29,IN,1631971514
Shujaabad,29.8797,71.2931,98.65,22,13,7.47,PK,1631971514
Kommunar,59.6206,30.39,49.53,47,86,9.55,RU,1631971515
Sakakah,29.9697,40.2064,99.97,15,0,5.93,SA,1631971516
Muroto-misakicho,33.2833,134.15,78.13,82,23,11.01,JP,1631971517
Pisco,-13.7,-76.2167,59.05,88,90,4.61,PE,1631971518
Ostrovnoy,68.0531,39.5131,44.62,73,63,7.29,RU,1631971519
Nantucket,41.2835,-70.0995,69.96,94,35,17.09,US,1631971521
Fereydūnkenār,36.6864,52.5225,77.31,64,19,12.84,IR,1631971522
La Asuncion,11.0333,-63.8628,91.13,58,98,9.22,VE,1631971524
Guaiúba,-4.0397,-38.6372,85.44,40,2,10.94,BR,1631971525
Northam,51.0333,-4.2167,71.2,90,100,4.03,GB,1631971527
Teya,60.3778,92.6267,43.14,95,20,5.79,RU,1631971528
Severo-Kuril'sk,50.6789,156.125,47.97,85,20,7.56,RU,1631971530
Palmeiras de Goiás,-16.805,-49.9258,89.2,15,5,12.15,BR,1631971531
De Aar,-30.6497,24.0123,75.94,18,0,20.51,ZA,1631971533
Luján,-34.5703,-59.105,69.22,74,0,3.74,AR,1631971534
Mayumba,-3.432,10.6554,76.84,78,98,8.93,GA,1631971536
Cockburn Town,21.4612,-71.1419,82.27,77,96,14.38,TC,1631971444
Maniitsoq,65.4167,-52.9,36.25,43,100,1.57,GL,1631971538
Sayansk,54.1088,102.1648,51.58,76,73,5.19,RU,1631971539
Chāndbāli,20.7833,86.7667,81.57,83,100,6.04,IN,1631971541
Meulaboh,4.1363,96.1285,78.06,88,97,5.37,ID,1631971541
Avera,33.194,-82.5271,76.68,78,100,6.85,US,1631971541
Chumphon,10.3333,98.8333,77.11,91,31,2.55,TH,1631971542
Kaitong,44.8135,123.15,60.82,73,100,8.95,CN,1631971543
Cuamba,-14.8031,36.5372,85.55,37,95,11.03,MZ,1631971543
Forsytheganj,52.6333,29.7333,49.89,96,100,17.63,BY,1631971545
Belgrade,44.804,20.4651,74.39,46,0,5.75,RS,1631971546
Churapcha,62.0025,132.4325,41.11,95,100,9.93,RU,1631971547
Sisimiut,66.9395,-53.6735,33.87,42,41,5.35,GL,1631971549
Saraland,30.8207,-88.0706,77.56,97,100,5.26,US,1631971551
Bayburt,40.2589,40.2278,69.75,31,48,8.75,TR,1631971552
Mareeba,-17.0,145.4333,66.92,81,38,2.77,AU,1631971553
Carquefou,47.2982,-1.4902,70.34,67,75,5.01,FR,1631971554
Almuñécar,36.7339,-3.6907,91.69,65,0,8.52,ES,1631971555
Alofi,-19.0595,-169.9187,71.49,100,6,1.14,NU,1631971086
Hualmay,-11.0964,-77.6139,60.66,82,73,4.85,PE,1631971556
Irbeyskoye,55.6428,95.4522,58.28,69,92,6.64,RU,1631971558
Husavik,66.0449,-17.3389,49.91,51,13,7.05,IS,1631971560
Valle d'Aosta,45.7667,7.4167,66.97,60,5,18.41,IT,1631971561
Ekhabi,53.5102,142.9671,43.72,88,1,9.35,RU,1631971563
Río Gallegos,-51.6226,-69.2181,41.05,81,90,10.36,AR,1631971565
Naryan-Mar,67.6713,53.087,39.56,76,100,17.98,RU,1631971566
Teleneşti,47.4997,28.3656,68.07,86,100,6.26,MD,1631971568
La Palma,33.8464,-118.0467,65.71,89,90,0.0,US,1631971569
Deloraine,-41.5333,146.6667,44.35,76,100,3.0,AU,1631971570
Ayagoz,47.9714,80.4392,55.15,51,0,11.01,KZ,1631971571
Merritt Island,28.5392,-80.672,79.16,91,1,3.44,US,1631971572
Lincoln,40.8,-96.667,62.65,80,1,1.99,US,1631971522
Jumla,29.2747,82.1838,64.08,97,92,2.57,NP,1631971403
Kununurra,-15.7667,128.7333,76.98,78,3,0.0,AU,1631971043
Qui Nhon,13.7667,109.2333,80.6,72,100,2.8,VN,1631971575
Labuhan,-6.8844,112.2051,83.14,71,88,8.05,ID,1631971576
Dubrājpur,23.8,87.3833,79.95,86,100,5.21,IN,1631971576
Los Alamos,35.8881,-106.307,59.02,66,1,5.99,US,1631971576
Biak,-0.9131,122.8766,74.91,83,92,6.6,ID,1631971577
Blacksburg,37.2296,-80.4139,72.1,75,90,0.0,US,1631971578
Kaeo,-35.1,173.7833,47.32,92,2,4.92,NZ,1631971579
Batagay-Alyta,67.8006,130.4114,28.26,83,100,9.53,RU,1631971579
Mogadishu,2.0371,45.3438,82.27,89,75,18.41,SO,1631971581
Nuevo Progreso,23.1667,-97.95,78.48,84,100,3.44,MX,1631971582
Luganville,-15.5333,167.1667,77.41,84,98,13.09,VU,1631971583
Severo-Yeniseyskiy,60.3725,93.0408,40.89,96,42,7.07,RU,1631971584
Žitište,45.485,20.5497,73.42,27,90,12.8,RS,1631971586
San Cristobal,7.7669,-72.225,69.98,60,11,4.5,VE,1631971588
Point Fortin,10.1833,-61.6833,87.73,73,35,6.85,TT,1631971589
Havøysund,70.9963,24.6622,49.08,67,4,15.97,NO,1631971590
Thunder Bay,48.4001,-89.3168,47.28,100,40,4.61,CA,1631971444
Kaa-Khem,51.6833,94.7333,62.31,39,97,5.66,RU,1631971592
Port Hardy,50.6996,-127.4199,51.8,87,90,8.05,CA,1631971592
Ube,33.9431,131.2511,73.36,83,0,8.05,JP,1631971593
Magrath,49.4167,-112.8686,64.54,24,100,17.27,CA,1631971594
Puerto del Rosario,28.5004,-13.8627,80.35,61,20,18.41,ES,1631971595
Los Algarrobos,8.5,-82.4333,79.21,89,20,1.14,PA,1631971596
Hobbs,32.7026,-103.136,66.06,80,1,5.01,US,1631971597
Panjakent,39.4952,67.6093,87.6,10,0,6.06,TJ,1631971599
Kyabram,-36.3167,145.05,47.88,70,0,6.64,AU,1631971599
Camacha,33.0833,-16.3333,72.82,64,40,17.27,PT,1631971600
Lemta,35.6667,10.8833,92.97,46,7,14.97,TN,1631971601
Raudeberg,61.9875,5.1352,61.2,76,100,3.0,NO,1631971602
Cabedelo,-6.9811,-34.8339,84.87,60,17,16.24,BR,1631971604
Taltal,-25.4,-70.4833,62.02,64,93,5.17,CL,1631971605
Kutum,14.2,24.6667,86.77,21,14,7.67,SD,1631971607
Honiara,-9.4333,159.95,77.63,87,32,8.37,SB,1631971608
Sibolga,1.7427,98.7792,77.27,86,72,2.55,ID,1631971609
Mabaruma,8.2,-59.7833,85.17,62,93,2.28,GY,1631971609
Faya,18.3851,42.4509,84.31,25,48,4.32,SA,1631971610
Tuy Hoa,13.0833,109.3,77.72,82,100,0.67,VN,1631971368
Gayéri,12.6497,0.4931,90.99,46,12,8.81,BF,1631971612
Cap Malheureux,-19.9842,57.6142,79.29,78,29,8.01,MU,1631971613
Tulsīpur,28.131,82.2973,73.06,90,58,1.97,NP,1631971615
Kirakira,-10.4544,161.9205,79.45,87,44,11.36,SB,1631971615
Sarmanovo,55.2553,52.5891,43.48,60,100,11.92,RU,1631971616
Nanyang,32.9947,112.5328,71.6,86,100,12.77,CN,1631971334
Ndioum,16.5129,-14.6471,93.45,44,100,4.94,SN,1631971618
Nemuro,43.3236,145.575,58.69,95,100,24.02,JP,1631971619
Bara,10.3744,10.7288,89.78,54,4,2.93,NG,1631971619
Grand-Santi,4.25,-54.3833,84.92,65,28,2.82,GF,1631971621
Berlevåg,70.8578,29.0864,47.53,63,0,15.73,NO,1631971622
Pudem,58.3044,52.1675,41.04,74,100,12.39,RU,1631971624
Qaqortoq,60.7167,-46.0333,37.9,93,100,10.71,GL,1631971625
Fukuechō,32.6881,128.8419,75.24,73,0,21.18,JP,1631971521
Palu,-0.8917,119.8707,75.33,92,69,3.04,ID,1631971627
Mildura,-34.2,142.15,49.06,57,0,3.44,AU,1631971334
Wronki,52.7105,16.3804,55.62,75,100,11.23,PL,1631971629
Hastings,50.8552,0.5729,75.52,73,100,8.43,GB,1631971630
Esperance,-33.8667,121.9,58.84,71,100,14.85,AU,1631971631
Sokolo,14.7328,-6.1219,93.94,37,14,6.62,ML,1631971632
Teruel,40.6667,-0.6667,72.88,43,100,8.55,ES,1631971633
Valparaíso,-33.0393,-71.6273,53.24,94,75,10.36,CL,1631971614
Takapau,-40.0333,176.35,39.72,97,3,2.93,NZ,1631971635
Markova,48.6758,24.4138,62.19,66,94,8.21,UA,1631971636
Vardø,70.3705,31.1107,44.8,69,5,15.35,NO,1631971087
Hambantota,6.1241,81.1185,84.54,84,20,5.75,LK,1631971637
Dobre Miasto,53.9867,20.3975,47.08,76,100,11.34,PL,1631971638
Biskamzha,53.4497,89.5272,48.63,96,50,2.21,RU,1631971639
Fort Morgan,40.2503,-103.8,53.1,93,1,4.61,US,1631971641
Nago,26.5881,127.9761,81.03,73,6,5.35,JP,1631971346
Santa Maria,-29.6842,-53.8069,61.9,94,90,4.61,BR,1631971642
Shirgaon,19.7,72.7,84.22,85,21,11.23,IN,1631971644
Charters Towers,-20.1,146.2667,62.71,70,0,10.92,AU,1631971644
Naranjal,-2.6667,-79.6167,73.53,87,83,2.91,EC,1631971645
Voloshka,61.3314,40.0858,43.52,63,100,5.57,RU,1631971646
Bubaque,11.2833,-15.8333,81.63,76,14,9.84,GW,1631971648
Whitefish,48.4111,-114.3376,48.42,79,1,4.61,US,1631971650
Santa Rosa,14.3122,121.1114,85.98,76,10,6.67,PH,1631971651
Chu,43.5983,73.7614,78.08,23,5,6.15,KZ,1631971651
Broome,42.2506,-75.833,70.7,80,90,1.99,US,1631971652
Samfya,-11.3649,29.5565,92.68,16,1,7.72,ZM,1631971652
Udachny,66.4167,112.4,32.47,71,76,5.88,RU,1631971501
Manono,-7.3,27.4167,89.67,42,100,5.1,CD,1631971655
Santiago del Estero,-27.7951,-64.2615,70.81,49,100,6.71,AR,1631971656
Moree,-29.4667,149.85,60.82,88,90,8.05,AU,1631971658
Tromsø,69.6496,18.957,56.05,54,0,13.8,NO,1631971659
Mpongwe,-13.5091,28.155,92.08,18,0,12.93,ZM,1631971660
Shahrud,36.4182,54.9763,80.22,32,0,11.18,IR,1631971662
Minden,52.2833,8.9167,67.03,79,93,7.65,DE,1631971543
Bulgan,48.8125,103.5347,53.37,76,10,0.78,MN,1631971593
Kampot,10.6167,104.1833,77.05,85,100,6.22,KH,1631971664
Kailua,21.4022,-157.7394,76.98,79,99,9.22,US,1631971665
Deqing,30.5448,119.9599,75.16,89,0,2.26,CN,1631971656
Robertsport,6.7533,-11.3686,81.0,76,21,9.64,LR,1631971667
Talcahuano,-36.7167,-73.1167,49.68,81,0,0.0,CL,1631971668
Pangnirtung,66.1451,-65.7125,33.55,68,55,1.86,CA,1631971670
Zyryanka,65.75,150.85,38.95,86,4,15.9,RU,1631971671
Vilhena,-12.7406,-60.1458,89.01,35,15,4.74,BR,1631971669
Solnechnyy,50.7214,136.6319,46.11,58,9,13.0,RU,1631971674
Sauda,59.6506,6.3542,61.68,59,100,4.21,NO,1631971675
Ulagan,50.6321,87.9563,52.75,67,83,3.06,RU,1631971676
Teluk Nibung,3.001,99.8164,76.26,89,36,3.98,ID,1631971676
Camargo,27.6667,-105.1667,69.06,48,2,4.03,MX,1631971677
Narrabri,-30.3167,149.7833,59.09,82,75,1.14,AU,1631971678
Dubbo,-32.25,148.6167,44.73,93,75,2.3,AU,1631971678
Waipawa,-41.4122,175.5153,43.93,90,4,5.28,NZ,1631971679
Peterhead,57.5058,-1.7981,63.1,89,100,6.87,GB,1631971680
Erzin,36.9559,36.2,91.92,32,0,7.0,TR,1631971681
Coos Bay,43.3665,-124.2179,60.85,95,90,9.22,US,1631971683
San Pedro de Macorís,18.4616,-69.2972,85.48,78,0,8.72,DO,1631971642
Jacareacanga,-6.2222,-57.7528,90.77,48,31,2.17,BR,1631971684
Ocna Sibiului,45.8833,24.05,68.22,52,20,17.27,RO,1631971685
Las Tunas,20.9617,-76.9511,80.73,80,86,11.21,CU,1631971687
Olafsvik,64.8945,-23.7142,47.39,64,100,10.22,IS,1631971688
Dingle,10.9995,122.6711,76.73,91,85,2.21,PH,1631971519
Zeya,53.75,127.2667,37.85,77,7,4.63,RU,1631971689
Homer,59.6425,-151.5483,47.05,90,75,3.44,US,1631971691
